-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
   18.624-0.07      8        18.6545        -0.0593       276.2944       -12.7066
   18.624-0.07      9        18.6644        -0.0556       276.2957       -12.6961
   18.624-0.07     10        18.6674         0.0262       276.2231       -12.6552
   18.624-0.07     11        18.7014         0.0051       276.2584       -12.6350
   18.624-0.07     12        18.7110         0.0008       276.2670       -12.6285
  18.671-0.462      1        18.6606        -0.4817       276.6804       -12.8983
  18.671-0.462      2        18.6772        -0.4126       276.6256       -12.8514
  18.681-0.051      1        18.6644        -0.0556       276.2957       -12.6961
   18.69-0.383      1        18.6705        -0.3723       276.5859       -12.8385
   18.69-0.383      2        18.6958        -0.3794       276.6044       -12.8195
   18.69-0.383      3        18.6945        -0.3730       276.5979       -12.8176
  18.697+0.003      1        18.7014         0.0051       276.2584       -12.6350
  18.697+0.003      2        18.7110         0.0008       276.2669       -12.6285
  18.709-0.392      1        18.6926        -0.3971       276.6189       -12.8305
  18.709-0.392      2        18.6958        -0.3794       276.6044       -12.8195
   18.76-0.438      1        18.7005        -0.4338       276.6561       -12.8406
   18.76-0.438      2        18.6928        -0.3964       276.6184       -12.8300
   18.76-0.438      3        18.7147        -0.4299       276.6593       -12.8262
   18.76-0.438      4        18.7130        -0.4260       276.6549       -12.8259
   18.76-0.438      5        18.7329        -0.4445       276.6812       -12.8170
   18.76-0.438      6        18.7251        -0.4267       276.6613       -12.8155
   18.76-0.438      7        18.7316        -0.4321       276.6693       -12.8123
   18.76-0.438      8        18.7626        -0.4739       276.7221       -12.8044
   18.76-0.438      9        18.7487        -0.4497       276.6935       -12.8053
   18.76-0.438     10        18.7575        -0.4587       276.7058       -12.8018
   18.76-0.438     11        18.7602        -0.4616       276.7097       -12.8007
   18.76-0.438     12        18.7662        -0.4638       276.7146       -12.7964
   18.76-0.438     13        18.7737        -0.4700       276.7238       -12.7927
   18.76-0.438     14        18.7762        -0.4569       276.7131       -12.7844
   18.76-0.438     15        18.7731        -0.4496       276.7050       -12.7838
   18.76-0.438     16        18.7874        -0.4652       276.7260       -12.7784
   18.76-0.438     17        18.8212        -0.4397       276.7190       -12.7366
   18.76-0.438     18        18.8272        -0.4191       276.7032       -12.7216
  18.787-0.286      1        18.7895        -0.2853       276.5638       -12.6927
  18.787-0.286      2        18.8340        -0.2998       276.5982       -12.6600
   18.787-0.55      1        18.7508        -0.5645       276.7987       -12.8570
   18.79-0.025      1        18.7823        -0.0205       276.3204       -12.5754
  18.815-0.556      1        18.8161        -0.5557       276.8218       -12.7951
  18.815-0.556      2        18.8229        -0.5472       276.8174       -12.7852
  18.816-0.447      1        18.8252        -0.4669       276.7456       -12.7457
  18.833-0.078      1        18.8211        -0.0982       276.4094       -12.5775
